image,method,intensity_bhattacharyya,intensity_wasserstein,gradient_similarity,edge_preservation,local_contrast_ratio,mask_contrast,artifact_penalty,composite_score
"Aufnahme-04_0,5Mio_nach_48h.jpg",rolling_ball,0.028754250025874537,2.4597561510745436,0.9474774959304789,0.04054186708550113,1.757623128355104,,0.07307211879563612,0.6063110764145136
"Aufnahme-04_0,5Mio_nach_48h.jpg",poly2,0.4022763205883109,3.2738967017212417,0.7979843234968074,0.027419049422457868,2.3030546215126617,,0.24108254062501652,0.4746145824254212
"Aufnahme-04_0,5Mio_nach_48h.jpg",poly3,0.41667395689099007,3.2790386347915046,0.787784588849438,0.02685512367491166,2.3142440224994623,,0.2395134044192481,0.47029632200146537
Aufnahme-04_2Mio_nach_48h.jpg,gaussian,0.43669253118531737,3.652290594909573,0.9436464413152242,0.09213312340517943,1.8580722590736476,,0.27010402287386515,0.503610236124594
Aufnahme-04_2Mio_nach_48h.jpg,opening,0.09121928947480085,2.3867856459401082,0.9025964186672542,0.09909062402006899,1.7409932322830681,,0.17969598909448453,0.5808049651287652
Aufnahme-04_2Mio_nach_48h.jpg,rolling_ball,0.026202429296480374,2.4627808629884385,0.9442875494517737,0.14735146022155085,1.341976266210708,,0.07813835670597809,0.624852613451012
Aufnahme-04_2Mio_nach_48h.jpg,poly2,0.3171024837863478,3.219266179658007,0.9473447816828198,0.09812687454020712,1.8031762706070047,,0.2572662679016899,0.5282300128518413
Aufnahme-04_2Mio_nach_48h.jpg,poly3,0.3198245566811836,3.226388897455763,0.9511002168412166,0.09916738443870227,1.7868724876770803,,0.2575462405793167,0.5285035305028443
"Aufnahme-05_0,5Mio_nach_48h.jpg",gaussian,0.6061337077859172,3.736705417977646,0.783501273340277,0.07015843429636533,2.494397004773314,,0.19112070397621497,0.45125960623508843
"Aufnahme-05_0,5Mio_nach_48h.jpg",opening,0.13808432486134398,2.269555264210794,0.7294715139695152,0.07476801491808374,2.2851983113919956,,0.14133805307016595,0.535892707376611
"Aufnahme-05_0,5Mio_nach_48h.jpg",rolling_ball,0.039878158907957574,2.452470858406741,0.9272864255263379,0.12936763834967427,1.3931116301734556,,0.07071579890707967,0.6148878195379733
"Aufnahme-05_0,5Mio_nach_48h.jpg",poly2,0.44893277217937383,3.3056521469552536,0.7991954004432528,0.06793728865662466,2.433649866309498,,0.1976139248665549,0.47680468472666443
"Aufnahme-05_0,5Mio_nach_48h.jpg",poly3,0.4650180364501679,3.2987715251510963,0.787709139506058,0.06948393378773125,2.4548737803890845,,0.19374881831030208,0.4726834127924958
Aufnahme-05_2Mio_nach_48h.jpg,gaussian,0.44461305647817484,3.688355409685755,0.9983774420615321,0.12184773514999403,1.6488688748669116,,0.28123118305692507,0.5163687434628053
Aufnahme-05_2Mio_nach_48h.jpg,opening,0.05242027482938071,2.317578616202809,0.938864296266162,0.13508643128879397,1.5574895218557177,,0.15389156983320482,0.6071713919672137
Aufnahme-05_2Mio_nach_48h.jpg,rolling_ball,0.023062326779050624,2.4164176508202218,0.9415408251755253,0.1729132786203245,1.3370303133225991,,0.1193359795352717,0.6264782932207383
Aufnahme-05_2Mio_nach_48h.jpg,poly2,0.3446631870893209,3.479853346652817,0.9973485581398938,0.13202553323991903,1.5998367130881037,,0.2711441494056338,0.536597979237646
Aufnahme-05_2Mio_nach_48h.jpg,poly3,0.34759796058048137,3.4883202423225157,0.9966134893421615,0.13130334198268045,1.5986358198710806,,0.26526128856359765,0.5361418825245017
"Aufnahme-06_0,5Mio_nach_48h.jpg",gaussian,0.605938144921703,3.7126337096560746,0.8033262563151404,0.06990478486199832,2.3337452649036874,,0.24812303961542442,0.4508768844994423
"Aufnahme-06_0,5Mio_nach_48h.jpg",opening,0.22311452104721374,2.2642276012629736,0.7323841878138666,0.08748317631224764,2.2085088418736865,,0.3094262547693388,0.5060008398016145
